date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin_1p,ebitMargin_1p,ebitdaMargin_1p,operatingProfitMargin_1p,pretaxProfitMargin_1p,continuousOperationsProfitMargin_1p,netProfitMargin_1p,bottomLineProfitMargin_1p,receivablesTurnover_1p,payablesTurnover_1p,inventoryTurnover_1p,fixedAssetTurnover_1p,assetTurnover_1p,currentRatio_1p,quickRatio_1p,solvencyRatio_1p,cashRatio_1p,priceToEarningsRatio_1p,priceToEarningsGrowthRatio_1p,forwardPriceToEarningsGrowthRatio_1p,priceToBookRatio_1p,priceToSalesRatio_1p,priceToFreeCashFlowRatio_1p,priceToOperatingCashFlowRatio_1p,debtToAssetsRatio_1p,debtToEquityRatio_1p,debtToCapitalRatio_1p,longTermDebtToCapitalRatio_1p,financialLeverageRatio_1p,workingCapitalTurnoverRatio_1p,operatingCashFlowRatio_1p,operatingCashFlowSalesRatio_1p,freeCashFlowOperatingCashFlowRatio_1p,debtServiceCoverageRatio_1p,interestCoverageRatio_1p,shortTermOperatingCashFlowCoverageRatio_1p,operatingCashFlowCoverageRatio_1p,capitalExpenditureCoverageRatio_1p,dividendPaidAndCapexCoverageRatio_1p,dividendPayoutRatio_1p,dividendYield_1p,dividendYieldPercentage_1p,revenuePerShare_1p,netIncomePerShare_1p,interestDebtPerShare_1p,cashPerShare_1p,bookValuePerShare_1p,tangibleBookValuePerShare_1p,shareholdersEquityPerShare_1p,operatingCashFlowPerShare_1p,capexPerShare_1p,freeCashFlowPerShare_1p,netIncomePerEBT_1p,ebtPerEbit_1p,priceToFairValue_1p,debtToMarketCap_1p,effectiveTaxRate_1p,enterpriseValueMultiple_1p,dividendPerShare_1p,ret_1d,ret_5d,ret_10d,vol_5d,vol_10d,momentum_10d,sma_ratio_10_50,zscore_20d,rsi_14,volume,AD_momentum_5d,AD_momentum_10d,AD_momentum_20d
2020-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012980269989615323,0.023891691000796245,0.05133563510812267,0.014752228784294188,0.021394220776842495,5.6499999999999915,,,80.53571428571425,145538008.0,0.0640556721725396,0.3310974113227727,
2020-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02221069916169749,0.028432310233892588,0.0384547848990342,0.00833423765045058,0.02142832947240619,4.3799999999999955,,,79.93865030674843,126907200.0,0.2370115162981108,0.19107856262720713,
2020-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051487994589110686,0.08232529805935096,0.11934119341193417,0.010135374703929724,0.019790513360178116,13.260000000000005,,,73.94422310756968,338054800.0,0.35306937968428675,0.8984899731215295,
2020-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011980381120848982,0.09815897391152606,0.11647298855672839,0.021908028600931884,0.022104058272387594,13.129999999999995,,1.9026503710634621,77.0606804629954,345937768.0,0.34100517784921935,0.5174345924510904,8.596760627001823
2020-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008183696170347976,0.08021806853582558,0.1412506856829403,0.01964131530716445,0.022079804136379017,15.450000000000003,,1.602646833367251,77.65630338230267,211495788.0,0.41923140277868476,1.2778808140750537,1796.7261412702887
2020-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013538412240647224,0.09342321320542735,0.11954694274842925,0.02299367237192455,0.018374832208825787,13.509999999999991,,1.7372655949425575,74.69073888331658,163022400.0,0.8065130987479032,0.9222305095766976,16.919072647822873
2020-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011934871957002824,0.05689888400405829,0.08694896095991655,0.021683458823571165,0.01703104254358341,10.0,,1.459080062613178,72.73054755043223,155552400.0,0.4723661123373222,0.8213338371683454,4.499570767791414
2020-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001599872010239256,0.0035378306665594383,0.08615438169001832,0.025199165984778105,0.018356118801942108,9.900000000000006,,1.4289950855440658,76.24622356495468,187630000.0,-0.040776024006208944,0.29789659017621406,0.8188579152117292
2020-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033891515102956404,0.02526616875893839,0.12590524387051727,0.01157479203874716,0.018399035778019407,14.429999999999993,,1.9871015074932603,74.10215482841178,225702700.0,0.07701181082860953,0.44427841492592934,1.5056191562876804
2020-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03983261004339744,0.0749018665384924,0.1611284181377639,0.018786171304914664,0.019546497729303464,18.620000000000005,,2.533072547283365,87.89514263685427,152470142.0,0.03786115977996274,0.47296514968402925,1.6851462133319197
