date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1997-03-31,FE,1997,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.12710765239948119,0.12710765239948119,0.12710765239948119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,5.33852140077821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.933673469387755,0.5,,,,,,,,,0.0,0.0,0.0,,0.0,,,Utilities
1997-06-30,FE,1997,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.12724914897065975,0.12724914897065975,0.12724914897065975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.875,0.0,0.0,0.0,5.535337980223699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.929299363057325,0.5,,,,,,,,,0.0,0.0,0.0,,0.0,,,Utilities
1997-09-30,FE,1997,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.12724914897065975,0.12724914897065975,0.12724914897065975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.712535031847134,0.0,0.0,0.0,5.961640460366348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.9318036966220524,0.5003186743148502,,,,,,,,,0.0,0.0,0.0,,0.0,,,Utilities
1997-12-31,FE,1997,Q4,USD,1.0,-1.1443139678615575,-1.1443139678615575,-1.1443139678615575,0.0,0.07251751133086115,0.07251751133086115,0.07251751133086115,1.9288694615537454,0.0,0.0,0.10140809760581623,0.053692314499358434,0.5545112781954887,0.42304290137107475,0.005101005709648436,0.054290137107474566,16.158025568181817,-1.3465021306818181,-1.3465021306818181,1.0632068417609122,4.686959208899877,0.0,0.0,0.4282166718286802,1.8091644078885878,0.64402225900633,0.6195708215549274,4.2248808299841105,0.0,,,0.0,-1.346576938009577,0.0,,,0.0,0.0,,,,6.187380497131931,0.4486934353091141,49.34671765455704,0.6258763543658381,27.275971956660293,27.275971956660293,27.275971956660293,,,,0.0,0.0,1.0632068417609122,1.7016109536054154,0.0,-10.977045638671347,,Utilities
1998-03-31,FE,1998,Q1,USD,0.82525,0.29183333333333333,0.42866666666666664,0.26875,0.16716666666666666,0.10308333333333333,0.10308333333333333,0.10308333333333333,2.5906735751295336,0.7712394262596542,0.8462469733656174,0.126270597891281,0.0664819944598338,0.59260416015991,0.437816228371541,0.022988003408867426,0.030482853394965332,13.754464276818915,0.5043303568166931,0.5043303568166931,1.5749945440211983,5.671424103475,35.93299326383316,26.846978004615384,0.42934072022160663,1.7934322279049315,0.6420174472068728,0.6232726828885538,4.177177107680914,-1.646090534979424,0.15834842900868262,0.21125,0.7471400394477318,0.7284382284382285,0.0,0.42207792207792205,0.03271136574790957,3.954758190327613,1.7186440677966102,0.6742118027485853,0.012254417714488307,1.2254417714488308,5.432497982494744,0.5600000003621666,35.08307197095106,0.22092158462145292,19.561972526798364,19.561972526798364,19.561972526798364,1.1476151988020147,0.2901859338982609,0.8574292649037538,0.6166500498504487,0.622015503875969,1.5749945440211983,1.138691073383676,0.38334995014955137,28.200833833923017,0.37755860978338474,Utilities
1998-06-30,FE,1998,Q2,USD,0.7467700258397932,0.20898911596586014,0.3697439511393,0.22143919818338423,0.09545063033435126,0.04698144233027954,0.023099209145720775,0.023099209145720775,2.036842105263158,0.6384995064165844,1.2838427947598254,0.13980907757318328,0.06965100868796938,0.6240446636674074,0.48750609789148464,0.01668325615614316,0.038484470703019136,59.13461540466102,-0.7701252238746551,-0.7701252238746551,1.5605243470311978,5.463851395936105,-246.56836105123674,25.028280551470587,0.41485735477783775,1.7011517387901152,0.6297875511251677,0.6100991428546515,4.100570278430057,-1.8979045920641997,0.15111930185917935,0.21830710202803227,-0.101506456241033,0.6727332349565502,0.0,0.4571241187079849,0.03665189898379061,0.9078476066427874,0.7135909905298182,2.833898305084746,0.011980708277597832,1.1980708277597831,5.627898303176984,0.1299999999559322,33.52105083609456,0.3128813558261419,19.704915247557654,19.704915247557654,19.704915247557654,1.2286101690750475,1.353322033439552,-0.12471186436450445,0.24200164068908941,0.431046676096181,1.5605243470311978,1.0901154743445385,0.5077932731747334,30.73609618329098,0.3684067795361333,Utilities
1998-09-30,FE,1998,Q3,USD,0.7944518952495235,0.30218112514999645,0.46403614032610996,0.3144631891014329,0.2034305075174702,0.11512670290110821,0.11512670290110821,0.11512670290110821,2.1022406885294553,1.110602593440122,1.2622453402687472,0.15606547986251873,0.07774198681892762,0.5648286140089419,0.4539204845920869,0.027877164870382158,0.05658381808566896,10.936619725015326,0.024513113176758493,0.024513113176758493,1.5660778552677788,5.036387879296957,37.79158214300847,26.884139821401654,0.4147318513315517,1.6588454784899034,0.6238969101100407,0.5918403913172017,3.9998024582967515,-1.772204153114836,0.12759001971059084,0.18733676854662243,0.7113790504898266,0.5594912760142947,0.0,0.2789573260458272,0.03511650369821506,3.464751958224543,1.6322263222632227,0.5272838749233599,0.012053172922281087,1.2053172922281086,6.167118328530277,0.7099999995646843,32.89985896204791,0.5123666459151646,19.832985886061934,19.832985886061934,19.832985886061934,1.1553280189115096,0.33345186981394737,0.8218761490975621,0.5659264399722415,0.6469135802469136,1.5660778552677788,1.0592356394735323,0.4340735600277585,22.17074948068147,0.37437155096605057,Utilities
1998-12-31,FE,1998,Q4,USD,0.923604757548033,0.15914404798210838,0.26237674087628343,0.15914404798210838,0.07751346955372573,0.048134593880248044,0.048134593880248044,0.048134593880248044,3.5044531528322054,0.6075181891673404,0.587109375,0.21286218163720166,0.10891576936916987,0.48882272102611085,0.3715529088410444,0.02206857710292494,0.035639028859367844,19.59106069630412,-0.4796432101508939,-0.4796432101508939,1.6241560430184716,3.772031001199553,48.66291010990164,20.75249941767338,0.41427741024718356,1.6377702880154075,0.6208919311346194,0.5816363902724876,3.953317867460387,-1.946860620454208,0.16381126889601466,0.18176273254040867,0.42645413870246085,0.40534087894597226,0.0,0.3162083296489522,0.04778640439378349,1.7435397367137981,1.228021978021978,0.9091869060190074,0.011602063309804952,1.160206330980495,8.631954506642579,0.41549562457001743,32.83292932782272,0.3413469861831822,20.047334823498666,20.047334823498666,20.047334823498666,1.5689676382918503,0.8998748954520652,0.6690927428397851,0.620983606557377,0.48706483551580965,1.6241560430184716,1.0083823503631055,0.37901639344262295,28.72257611731887,0.37776318136724923,Utilities
1999-03-31,FE,1999,Q1,USD,0.8557922957527868,0.26551855510088895,0.4154790461408212,0.26499223931141525,0.16198673627769156,0.09645900945392973,0.09645900945392973,0.09645900945392973,2.4324695383559294,0.7542435424354244,0.7861538461538462,0.1537376892706842,0.07792878977810033,0.5085762489455432,0.3867279032711594,0.025720195755687496,0.021370325241353454,11.66666664960028,0.2722222218240065,0.2722222218240065,1.3932031889247969,4.501420434598561,52.34055228876128,30.010881110065853,0.4091893734468123,1.6251419337933444,0.619068216035468,0.5804267560857177,3.9716132413311205,-1.3096789096789097,0.09963445496297685,0.14999294482855932,0.5733772342427094,0.4479768786127168,0.0,0.19201589595375723,0.02856567013772254,2.3439911797133406,1.2024886877828054,0.6297496361202741,0.013494635079460558,1.3494635079460557,6.220258784269071,0.6000000008776999,32.66140539150739,0.2001155641051712,20.097570995088642,20.097570995088642,20.097570995088642,0.9329949326482324,0.39803687860392606,0.5349580540443064,0.5954747386759582,0.6112886048988285,1.3932031889247969,1.1664787639824066,0.40461672473867594,23.39482649685855,0.3778497822248956,Utilities
1999-06-30,FE,1999,Q2,USD,0.8659360850449505,0.24508038585209002,0.3960889822166809,0.24548854911739615,0.1487630421943697,0.08223767963777151,0.08223767963777151,0.08223767963777151,2.1025110375275937,0.671818480762907,0.8191659983961508,0.16520673879577633,0.0828963401366465,0.5621763721819485,0.4628375687086752,0.025730384336475707,0.09021747789373058,14.090909102152853,-1.690909092258344,-1.690909092258344,1.5378393368457721,4.63521467419122,39.285893448275864,25.89297522727273,0.4119413377431568,1.648698075415832,0.6224560249876706,0.5721684053651267,4.002264216668118,-1.4190334295558245,0.10865928463315543,0.17901437102172058,0.6590909090909091,0.3511888111888112,0.0,0.19076923076923077,0.03602366363828439,2.933333333333333,1.529696752198098,0.6809339142369257,0.012081085565531226,1.2081085565531227,6.68793188212131,0.5499999995611305,33.234707367234236,0.9940393538293042,20.158152582820133,20.158152582820133,20.158152582820133,1.1972359193140583,0.40814860885706533,0.789087310456993,0.5528098808998677,0.6059877038225073,1.5378393368457721,1.0720873344269108,0.44728716365240406,23.87326647117296,0.374513652531468,Utilities
